STT,Create_at
0,1671017026.991318
1,1671017026.9924119
2,1671017026.993502
3,1671017026.9945908
4,1671017026.99568
5,1671017026.9967682
6,1671017026.9978576
7,1671017026.9989467
8,1671017027.0000374
9,1671017027.0011363
10,1671017027.0022254
11,1671017027.0033154
12,1671017027.0044017
13,1671017027.0054946
14,1671017027.0065854
15,1671017027.0076792
16,1671017027.0087738
17,1671017027.0098732
18,1671017027.0109637
19,1671017027.012053
20,1671017027.0131423
21,1671017027.0142357
22,1671017027.015325
23,1671017027.0164104
24,1671017027.017514
25,1671017027.0186117
26,1671017027.019701
27,1671017027.0207953
28,1671017027.021903
29,1671017027.0229986
30,1671017027.024123
31,1671017027.0252163
32,1671017027.0263126
33,1671017027.0274198
34,1671017027.0285134
35,1671017027.0295947
36,1671017027.0306706
37,1671017027.0317552
38,1671017027.0328448
39,1671017027.0339339
40,1671017027.0350244
41,1671017027.036123
42,1671017027.0372124
43,1671017027.038304
44,1671017027.0394177
45,1671017027.0405169
46,1671017027.0416067
47,1671017027.042698
48,1671017027.0437877
49,1671017027.044886
50,1671017027.045976
51,1671017027.047066
52,1671017027.0481098
53,1671017027.0491989
54,1671017027.0502872
55,1671017027.051376
56,1671017027.052465
57,1671017027.0535626
58,1671017027.0546517
59,1671017027.0557415
60,1671017027.0568402
61,1671017027.0579317
62,1671017027.0590208
63,1671017027.0601153
64,1671017027.0612044
65,1671017027.062303
66,1671017027.0633922
67,1671017027.0644765
68,1671017027.0655653
69,1671017027.0666544
70,1671017027.0677373
71,1671017027.0688267
72,1671017027.0699153
73,1671017027.0710173
74,1671017027.0721142
75,1671017027.0732036
76,1671017027.0742927
77,1671017027.0753791
78,1671017027.0764625
79,1671017027.0775518
80,1671017027.078641
81,1671017027.0797384
82,1671017027.080827
83,1671017027.0819159
84,1671017027.0830095
85,1671017027.0841105
86,1671017027.085203
87,1671017027.0862908
88,1671017027.0873783
89,1671017027.0884666
90,1671017027.0895634
91,1671017027.0906522
92,1671017027.0917401
93,1671017027.0928283
94,1671017027.0939164
95,1671017027.095005
96,1671017027.0961065
97,1671017027.097195
98,1671017027.0983183
99,1671017027.0994077
100,1671017027.100493
101,1671017027.101582
102,1671017027.1026716
103,1671017027.1037612
104,1671017027.1048503
105,1671017027.1059391
106,1671017027.1070366
107,1671017027.108112
108,1671017027.1092012
109,1671017027.1102917
110,1671017027.1113808
111,1671017027.1124628
112,1671017027.1135519
113,1671017027.1146412
114,1671017027.1157398
115,1671017027.1168292
116,1671017027.1179745
117,1671017027.1191459
118,1671017027.1202705
119,1671017027.1214585
120,1671017027.1226242
121,1671017027.1238146
122,1671017027.1249752
123,1671017027.1261384
124,1671017027.1273139
125,1671017027.1284416
126,1671017027.129601
127,1671017027.1307247
128,1671017027.1318846
129,1671017027.1330311
130,1671017027.134154
131,1671017027.135276
132,1671017027.1363854
133,1671017027.1375067
134,1671017027.1386719
135,1671017027.139834
136,1671017027.141003
137,1671017027.1421387
138,1671017027.1433115
139,1671017027.1444252
140,1671017027.1455865
141,1671017027.146701
142,1671017027.1478257
143,1671017027.1489632
144,1671017027.1501012
145,1671017027.1512434
146,1671017027.1523716
147,1671017027.153482
148,1671017027.1545997
149,1671017027.1557708
150,1671017027.1568758
151,1671017027.1579833
152,1671017027.1591272
153,1671017027.1602395
154,1671017027.1614108
155,1671017027.162539
156,1671017027.1636548
157,1671017027.1648135
158,1671017027.165978
159,1671017027.1671445
160,1671017027.1682434
161,1671017027.169421
162,1671017027.170601
163,1671017027.17177
164,1671017027.1729298
165,1671017027.1740901
166,1671017027.1752036
167,1671017027.17633
168,1671017027.1775098
169,1671017027.1786268
170,1671017027.179762
171,1671017027.1808858
172,1671017027.1820467
173,1671017027.1832132
174,1671017027.1843524
175,1671017027.1854625
176,1671017027.186629
177,1671017027.187796
178,1671017027.188917
179,1671017027.1900618
180,1671017027.1912236
181,1671017027.1923454
182,1671017027.1935012
183,1671017027.1946476
184,1671017027.1957834
185,1671017027.196897
186,1671017027.1980543
187,1671017027.1992257
188,1671017027.2003517
189,1671017027.2015204
190,1671017027.202706
191,1671017027.2038891
192,1671017027.205021
193,1671017027.2061858
194,1671017027.2073388
195,1671017027.2084458
196,1671017027.209612
197,1671017027.2107918
198,1671017027.2119327
199,1671017027.2130535
200,1671017027.2142096
201,1671017027.2153475
202,1671017027.2164698
203,1671017027.2175925
204,1671017027.2187111
205,1671017027.2199385
206,1671017027.2210596
207,1671017027.2221851
208,1671017027.2233148
209,1671017027.224428
210,1671017027.225598
211,1671017027.2267473
212,1671017027.2278817
213,1671017027.2290199
214,1671017027.2301419
215,1671017027.2313137
216,1671017027.2324388
217,1671017027.233573
218,1671017027.2347283
219,1671017027.23588
220,1671017027.2370121
221,1671017027.2381504
222,1671017027.2392824
223,1671017027.2404065
224,1671017027.241588
225,1671017027.2427766
226,1671017027.243907
227,1671017027.2450428
228,1671017027.2461836
229,1671017027.247342
230,1671017027.2484672
231,1671017027.2496302
232,1671017027.250817
233,1671017027.2519968
234,1671017027.25316
235,1671017027.2543268
236,1671017027.255493
237,1671017027.25662
238,1671017027.257793
239,1671017027.2589803
240,1671017027.2601333
241,1671017027.2612708
242,1671017027.2624168
243,1671017027.2635782
244,1671017027.2647023
245,1671017027.2658672
246,1671017027.2670481
247,1671017027.2681828
248,1671017027.269346
249,1671017027.2705173
250,1671017027.2716756
251,1671017027.272812
252,1671017027.2739813
253,1671017027.2751691
254,1671017027.2762914
255,1671017027.2774153
256,1671017027.2785816
257,1671017027.2797449
258,1671017027.280912
259,1671017027.28207
260,1671017027.2832615
261,1671017027.2843888
262,1671017027.2855592
263,1671017027.2866735
264,1671017027.2878275
265,1671017027.2889855
266,1671017027.2901568
267,1671017027.291344
268,1671017027.2924578
269,1671017027.2935853
270,1671017027.2947073
271,1671017027.2958374
272,1671017027.2970133
273,1671017027.2981827
274,1671017027.2993803
275,1671017027.3005204
276,1671017027.3016853
277,1671017027.3028226
278,1671017027.3039806
279,1671017027.3051496
280,1671017027.3063145
281,1671017027.30749
282,1671017027.3086274
283,1671017027.3097572
284,1671017027.3108957
285,1671017027.312035
286,1671017027.3132005
287,1671017027.3143628
288,1671017027.3155465
289,1671017027.316717
290,1671017027.3178403
291,1671017027.3190067
292,1671017027.3201504
293,1671017027.3212624
294,1671017027.3224196
295,1671017027.3236003
296,1671017027.3247664
297,1671017027.3258865
298,1671017027.3270276
299,1671017027.3281844
300,1671017027.3293068
301,1671017027.3304756
302,1671017027.3316321
303,1671017027.3327897
304,1671017027.3339312
305,1671017027.335089
306,1671017027.3361828
307,1671017027.3373442
308,1671017027.3385196
309,1671017027.339666
310,1671017027.3408384
311,1671017027.3419645
312,1671017027.343091
313,1671017027.344223
314,1671017027.34535
315,1671017027.3464816
316,1671017027.3476086
317,1671017027.3487637
318,1671017027.3499272
319,1671017027.3510695
320,1671017027.3521914
321,1671017027.3533466
322,1671017027.3545208
323,1671017027.3556814
324,1671017027.3568141
325,1671017027.357967
326,1671017027.3591657
327,1671017027.3602903
328,1671017027.3614492
329,1671017027.3626196
330,1671017027.3637862
331,1671017027.3649511
332,1671017027.3661284
333,1671017027.3673103
334,1671017027.3684382
335,1671017027.3696136
336,1671017027.3707824
337,1671017027.3719487
338,1671017027.373056
339,1671017027.3742151
340,1671017027.3753679
341,1671017027.3764942
342,1671017027.3776243
343,1671017027.3787575
344,1671017027.379896
345,1671017027.3810532
346,1671017027.3822389
347,1671017027.3834176
348,1671017027.3845456
349,1671017027.385876
350,1671017027.3870418
351,1671017027.388192
352,1671017027.3892994
353,1671017027.3904443
354,1671017027.391617
355,1671017027.3927765
356,1671017027.3939378
357,1671017027.3950713
358,1671017027.3962533
359,1671017027.3973522
360,1671017027.3985112
361,1671017027.3996696
362,1671017027.4008203
363,1671017027.4019759
364,1671017027.403135
365,1671017027.4042473
366,1671017027.4054024
367,1671017027.4065104
368,1671017027.4076488
369,1671017027.408811
370,1671017027.4099724
371,1671017027.4111013
372,1671017027.4122255
373,1671017027.413405
374,1671017027.4145815
375,1671017027.4157372
376,1671017027.4168768
377,1671017027.418039
378,1671017027.4191918
379,1671017027.4203138
380,1671017027.4215052
381,1671017027.4226391
382,1671017027.423787
383,1671017027.4249465
384,1671017027.426119
385,1671017027.427279
386,1671017027.428394
387,1671017027.4295204
388,1671017027.430643
389,1671017027.4317873
390,1671017027.432891
391,1671017027.4339805
392,1671017027.4350777
393,1671017027.4361715
394,1671017027.4372606
395,1671017027.4383783
396,1671017027.4394875
397,1671017027.4405835
398,1671017027.4417143
399,1671017027.442858
400,1671017027.4439952
401,1671017027.4451382
402,1671017027.4462743
403,1671017027.4474134
404,1671017027.4485362
405,1671017027.4496574
406,1671017027.4508283
407,1671017027.451985
408,1671017027.4531498
409,1671017027.4543157
410,1671017027.45545
411,1671017027.4565992
412,1671017027.4577367
413,1671017027.4588945
414,1671017027.4600244
415,1671017027.4611528
416,1671017027.4622965
417,1671017027.46343
418,1671017027.464554
419,1671017027.4657228
420,1671017027.4668906
421,1671017027.4680297
422,1671017027.469197
423,1671017027.470319
424,1671017027.4714437
425,1671017027.4725857
426,1671017027.473723
427,1671017027.4748788
428,1671017027.4760106
429,1671017027.4771426
430,1671017027.4782634
431,1671017027.4793959
432,1671017027.4805117
433,1671017027.481667
434,1671017027.4828217
435,1671017027.4839845
436,1671017027.4851453
437,1671017027.4862635
438,1671017027.4873695
439,1671017027.4884844
440,1671017027.4896145
441,1671017027.4907467
442,1671017027.4918828
443,1671017027.4930246
444,1671017027.4941654
445,1671017027.4953024
446,1671017027.4964123
447,1671017027.4975283
448,1671017027.4986885
449,1671017027.4998782
450,1671017027.5010066
451,1671017027.502173
452,1671017027.5033164
453,1671017027.5044267
454,1671017027.5056
455,1671017027.5067387
456,1671017027.5079207
457,1671017027.509048
458,1671017027.510216
459,1671017027.5113735
460,1671017027.5125012
461,1671017027.5136628
462,1671017027.5148263
463,1671017027.516004
464,1671017027.51717
465,1671017027.5183303
466,1671017027.519464
467,1671017027.5205717
468,1671017027.5217237
469,1671017027.5228806
470,1671017027.524058
471,1671017027.5252507
472,1671017027.5264142
473,1671017027.5275748
474,1671017027.5287218
475,1671017027.529864
476,1671017027.5309916
477,1671017027.532192
478,1671017027.5333595
479,1671017027.5344908
480,1671017027.535626
481,1671017027.536749
482,1671017027.537872
483,1671017027.5389912
484,1671017027.5401258
485,1671017027.541268
486,1671017027.5423734
487,1671017027.543479
488,1671017027.5445805
489,1671017027.545679
490,1671017027.5467782
491,1671017027.5478716
492,1671017027.548968
493,1671017027.5500767
494,1671017027.5511725
495,1671017027.55228
496,1671017027.5533993
497,1671017027.554518
498,1671017027.55563
499,1671017027.5567417
500,1671017027.557882
501,1671017027.5590348
502,1671017027.5601766
503,1671017027.5613015
504,1671017027.562432
505,1671017027.5635707
506,1671017027.56471
507,1671017027.5658457
508,1671017027.5669866
509,1671017027.568161
510,1671017027.5692792
511,1671017027.570406
512,1671017027.5715406
513,1671017027.572682
514,1671017027.573807
515,1671017027.574936
516,1671017027.576055
517,1671017027.5772312
518,1671017027.5784097
519,1671017027.5795693
520,1671017027.580749
521,1671017027.5819223
522,1671017027.5830305
523,1671017027.5841293
524,1671017027.5852613
525,1671017027.5864146
526,1671017027.5875466
527,1671017027.5886812
528,1671017027.589842
529,1671017027.5909805
530,1671017027.5921183
531,1671017027.5932658
532,1671017027.5943978
533,1671017027.5955355
534,1671017027.5966666
535,1671017027.597856
536,1671017027.5990334
537,1671017027.6001413
538,1671017027.6012673
539,1671017027.60246
540,1671017027.6035972
541,1671017027.6047635
542,1671017027.6059167
543,1671017027.6070776
544,1671017027.608195
545,1671017027.6093729
546,1671017027.61054
547,1671017027.6117055
548,1671017027.6128778
549,1671017027.6140604
550,1671017027.6152432
551,1671017027.6163547
552,1671017027.6175115
553,1671017027.6186507
554,1671017027.6197822
555,1671017027.620915
556,1671017027.6220675
557,1671017027.6232152
558,1671017027.624342
559,1671017027.6254969
560,1671017027.626661
561,1671017027.627772
562,1671017027.6289303
563,1671017027.6301177
564,1671017027.6312788
565,1671017027.6323888
566,1671017027.6335127
